formulation_id,ingredient_id,percentage
1,7,10.0
1,25,5.0
1,20,2.0
1,26,0.03
2,8,4.0
2,20,4.0
2,10,1.0
2,16,1.0
3,14,2.0
3,2,2.0
3,16,1.0
3,1,1.0
3,26,0.05
4,20,4.0
4,3,1.0
4,13,1.0
4,26,0.03
5,25,5.0
5,20,4.0
5,19,1.0
5,16,1.0
6,17,5.0
6,4,2.0
6,2,2.0
6,3,1.0
6,16,1.0
6,26,0.05
7,15,4.0
7,26,0.1
7,16,1.0
7,14,1.0
7,31,2.0
8,17,4.0
8,15,4.0
8,16,1.0
8,26,0.03
9,7,10.0
9,17,4.0
9,13,2.0
9,3,1.0
10,20,3.0
10,17,3.0
10,15,2.0
10,5,2.0
10,6,2.0
10,14,2.0
10,1,1.0
10,16,0.5
10,26,0.03
11,6,5.0
11,20,3.0
11,14,2.0
11,26,0.03
12,25,5.0
12,7,5.0
12,6,5.0
12,10,1.0
12,14,1.0
12,26,0.05
13,15,8.0
13,26,0.03
13,16,2.0
13,17,4.0
14,29,0.5
14,30,3.0
14,38,0.5
14,31,2.0
14,28,3.0
14,32,1.0
14,33,1.0
15,29,0.5
15,38,0.5
15,31,2.0
15,28,3.0
15,34,0.3
15,32,1.0
15,20,3.0
15,35,0.01
16,25,8.0
16,21,3.0
16,20,2.0
16,23,2.0
16,13,1.0
16,27,0.1
17,2,2.0
17,3,2.0
17,16,1.5
17,10,1.0
17,26,0.05
18,36,3.0
18,3,2.0
18,31,2.0
18,13,2.0
18,27,0.1
18,16,2.0
18,29,0.5
19,7,10.0
19,20,2.0
19,19,0.75
20,39,0.05
20,15,6.0
20,32,1.0
20,3,2.0
20,13,2.0
21,27,0.1
21,16,2.0
21,14,2.0
21,28,3.0
21,2,2.0
21,1,2.0
22,25,5.0
22,7,5.0
22,10,1.0
22,14,1.0
22,26,0.1
22,16,1.0
23,36,3.0
23,3,2.0
23,32,1.0
23,13,2.0
23,21,3.0
23,20,3.0
24,29,0.5
24,30,3.0
24,31,2.0
24,28,3.0
24,32,1.0
24,33,1.0
24,26,0.03
24,20,3.0
25,29,0.5
25,22,2.0
25,31,2.0
25,28,3.0
25,34,0.3
25,32,1.0
25,20,3.0
25,35,0.01
25,26,0.03
26,13,1.0
26,20,4.0
26,26,0.03
26,3,1.0
27,7,10.0
27,17,4.0
27,13,2.0
27,3,1.0
27,16,1.0
28,15,8.0
28,26,0.03
28,16,2.0
28,17,4.0
28,36,3.0
29,19,1.0
29,20,4.0
29,16,1.0
29,7,5.0
30,2,1.0
30,12,6.0
30,16,1.0
30,14,2.0
30,1,1.0
31,15,4.0
31,16,1.0
31,17,4.0
31,36,1.0
31,12,5.0
32,23,2.0
32,20,3.0
32,37,2.0
32,13,1.0
32,27,0.1
